"Country or Area","Year","Value"
"Bulgaria","1993","57483.4127360362"
"Bulgaria","1992","56839.9950155826"
"Bulgaria","1991","60058.0494592199"
"Bulgaria","1990","78672.9418616514"
"Canada","2016","558188.999667831"
"Canada","2015","565576.677002375"
"Canada","2014","568008.387994343"
"Canada","2013","568892.395683788"
"Canada","2012","563675.200323301"
"Canada","2011","560775.900487646"
"Canada","2010","555459.69367958"
"Canada","2009","540518.686677531"
"Canada","2008","574805.870617227"
"Canada","2007","594140.24182419"
"Canada","2006","570487.642097584"
"Canada","2005","576801.628717104"
"Canada","2004","585832.799322863"
"Canada","2003","587596.290506796"
"Canada","2002","570885.097812262"
"Canada","2001","564635.320056198"
"Canada","2000","572530.739963948"
"Canada","1999","550043.15020295"
"Canada","1998","534236.497510592"
"Canada","1997","525253.071570658"
"Canada","1996","510556.786401353"
"Canada","1995","495664.515634965"
"Canada","1994","483058.456915861"
"Canada","1993","467879.575184316"
"Canada","1992","468864.767454733"
"Canada","1991","454627.504241659"
"Canada","1990","463879.790663038"
"Croatia","2016","18220.6018048484"
"Croatia","2015","17996.5679858826"
"Croatia","2014","17850.6723966615"
"Croatia","2013","18588.1780346156"
"Croatia","2012","19242.9730313793"
"Croatia","2011","20801.6735094367"
"Croatia","2010","21245.0832565832"
"Croatia","2009","21995.5060866399"
"Croatia","2008","23785.2970187588"
"Croatia","2007","25056.2250515144"
"Croatia","2006","23725.6389960551"
"Croatia","2005","23489.5339358421"
"Croatia","2004","23044.7557557969"
"Croatia","2003","23386.2845180675"
"Croatia","2002","22053.9707079216"
"Croatia","2001","20966.6980030048"
"Croatia","2000","19815.7352703936"
"Croatia","1999","20241.7370615951"
"Croatia","1998","19398.2424344987"
"Croatia","1997","18692.94156948"
"Croatia","1996","17629.2091635257"
"Croatia","1995","17040.0966448348"
"Croatia","1994","16361.2170118538"
"Croatia","1993","17103.7155821749"
"Croatia","1992","16632.5473552619"
"Croatia","1991","17304.1852025758"
"Croatia","1990","23441.9650608059"
"Cyprus","2016","7307.799069912"
"Cyprus","2015","6902.871456179"
"Cyprus","2014","6878.543047452"
"Cyprus","2013","6494.858936101"
"Cyprus","2012","7169.926639251"
"Cyprus","2011","7700.195129713"
"Cyprus","2010","8017.876956377"
"Cyprus","2009","8382.59852807"
"Cyprus","2008","8634.193702852"
"Cyprus","2007","8472.613098109"
"Cyprus","2006","8160.844811457"
"Cyprus","2005","7972.169641186"
"Cyprus","2004","7787.751050302"
"Cyprus","2003","7560.234908919"
"Cyprus","2002","7170.780099826"
"Cyprus","2001","6982.241102455"
"Cyprus","2000","7108.859503565"
"Cyprus","1999","6860.795538564"
"Cyprus","1998","6593.753487495"
"Cyprus","1997","6301.201088501"
"Cyprus","1996","6214.477565073"
"Cyprus","1995","5864.31564964"
"Cyprus","1994","5994.023111638"
"Cyprus","1993","5751.370451017"
"Cyprus","1992","5507.155126773"
"Cyprus","1991","5131.819069104"
"Cyprus","1990","4643.055864562"
"Czech Republic","2016","106543.295217518"
"Czech Republic","2015","104784.55794655"
"Czech Republic","2014","104060.306601564"
"Czech Republic","2013","106401.191566977"
"Czech Republic","2012","110914.080294825"
"Czech Republic","2011","115023.302050055"
"Czech Republic","2010","117495.552051449"
"Czech Republic","2009","115255.28356444"
"Czech Republic","2008","122933.86785031"
"Czech Republic","2007","128180.733879848"
"Czech Republic","2006","126380.290854183"
"Czech Republic","2005","125294.530662404"
"Czech Republic","2004","127759.325398167"
"Czech Republic","2003","127048.374047416"
"Czech Republic","2002","123598.029515719"
"Czech Republic","2001","126666.372537396"
"Czech Republic","2000","126896.914340828"
"Czech Republic","1999","116441.581666484"
"Czech Republic","1998","125125.662581826"
"Czech Republic","1997","130849.714125808"
"Czech Republic","1996","134648.713803469"
"Czech Republic","1995","131972.060881286"
"Czech Republic","1994","131532.508659836"
"Czech Republic","1993","137962.666642563"
"Czech Republic","1992","144074.218787581"
"Czech Republic","1991","148512.476304778"
"Czech Republic","1990","164227.40202555"
"Denmark","2016","38427.3349230291"
"Denmark","2015","36625.4167879435"
"Denmark","2014","38960.6147211383"
"Denmark","2013","43172.8389499428"
"Denmark","2012","41274.4212671277"
"Denmark","2011","45770.3877634241"
"Denmark","2010","50818.1423188621"
"Denmark","2009","50187.5451416742"
"Denmark","2008","52628.0345520737"
"Denmark","2007","56116.516040547"
"Denmark","2006","60880.5600948861"
"Denmark","2005","52968.5449850466"
"Denmark","2004","56544.0658377333"
"Denmark","2003","62077.2620180631"
"Denmark","2002","56919.6845527514"
"Denmark","2001","57338.0108574073"
"Denmark","2000","55640.3622498316"
"Denmark","1999","59872.742426141"
"Denmark","1998","62425.7161777526"
"Denmark","1997","66642.9686284338"
"Denmark","1996","76034.4405457767"
"Denmark","1995","62702.5445366282"
"Denmark","1994","65744.8706271438"
"Denmark","1993","61728.0455850219"
"Denmark","1992","59647.5909164451"
"Denmark","1991","65479.7281171586"
"Denmark","1990","54893.6488777096"
"Estonia","2016","17493.5031873089"
"Estonia","2015","15891.0682525942"
"Estonia","2014","18903.8401707299"
"Estonia","2013","19695.5969841696"
"Estonia","2012","17938.0590362975"
"Estonia","2011","19097.1973350058"
"Estonia","2010","19014.8579176416"
"Estonia","2009","14609.0671487074"
"Estonia","2008","17872.6504519986"
"Estonia","2007","20071.6477040259"
"Estonia","2006","16439.1891556714"
"Estonia","2005","17136.3214607739"
"Estonia","2004","17286.5906219791"
"Estonia","2003","17087.2485222114"
"Estonia","2002","15233.3217318905"
"Estonia","2001","15707.8683220034"
"Estonia","2000","15362.2073625375"
"Estonia","1999","15727.0688223903"
"Estonia","1998","16909.5888573041"
"Estonia","1997","18482.3205737733"
"Estonia","1996","18925.4303310236"
"Estonia","1995","18203.9932084851"
"Estonia","1994","19900.9743929154"
"Estonia","1993","19066.0275701455"
"Estonia","1992","24514.5907873095"
"Estonia","1991","34037.7050020184"
"Estonia","1990","37068.9774750056"
"European Union","2016","3489056.37494032"
"European Union","2015","3510585.96771146"
"European Union","2014","3476890.45974061"
"European Union","2013","3646209.06349632"
"European Union","2012","3734122.94736823"
"European Union","2011","3792826.00439553"
"European Union","2010","3938605.79182498"
"European Union","2009","3819221.78778641"
"European Union","2008","4161610.41119657"
"European Union","2007","4261957.0272521"
"European Union","2006","4308334.40529396"
"European Union","2005","4302542.58172739"
"European Union","2004","4326718.18936235"
"European Union","2003","4316776.04518315"
"European Union","2002","4225178.25325683"
"European Union","2001","4248810.15389125"
"European Union","2000","4177013.85944474"
"European Union","1999","4154061.01386058"
"European Union","1998","4218562.87682086"
"European Union","1997","4226570.6296013"
"European Union","1996","4316238.4711615"
"European Union","1995","4213005.09764059"
"European Union","1994","4166249.11637559"
"European Union","1993","4186595.77474583"
"European Union","1992","4270930.26767476"
"European Union","1991","4415598.43122428"
"European Union","1990","4472075.91789107"
"Finland","2016","47926.3786479062"
"Finland","2015","44346.0804592048"
"Finland","2014","47799.6534655418"
"Finland","2013","51901.5692878162"
"Finland","2012","51111.890376611"
"Finland","2011","56544.1418672861"
"Finland","2010","63991.7531363085"
"Finland","2009","55818.2269328982"
"Finland","2008","58608.8155795675"
"Finland","2007","66755.6628412356"
"Finland","2006","68379.8181994072"
"Finland","2005","57045.0155361225"
"Finland","2004","68961.5955150815"
"Finland","2003","72658.3697741986"
"Finland","2002","65061.8197966681"
"Finland","2001","62539.27412648"
"Finland","2000","57041.5319457874"
"Finland","1999","58898.2616607721"
"Finland","1998","59375.0649829491"
"Finland","1997","62718.2711015999"
"Finland","1996","64058.3500114721"
"Finland","1995","58141.5600015369"
"Finland","1994","61711.5683054265"
"Finland","1993","56348.5240180457"
"Finland","1992","54280.4746487325"
"Finland","1991","55225.2673155198"
"Finland","1990","56966.9866817851"
"France","2016","346790.208152355"
"France","2015","344389.949228036"
"France","2014","339786.094790383"
"France","2013","369874.441908832"
"France","2012","369432.518070251"
"France","2011","368133.738053237"
"France","2010","393476.380181377"
"France","2009","382118.93533386"
"France","2008","402212.069062768"
"France","2007","408366.900202052"
"France","2006","417760.380958743"
"France","2005","428231.848048567"
"France","2004","424703.684775979"
"France","2003","423956.534186112"
"France","2002","417286.217029748"
"France","2001","421893.607577427"
"France","2000","416961.472527228"
"France","1999","422304.349792333"
"France","1998","426117.860682838"
"France","1997","406548.445068511"
"France","1996","413560.353757768"
"France","1995","398143.73156969"
"France","1994","390903.48948518"
"France","1993","396295.822742211"
"France","1992","415863.175164115"
"France","1991","426460.446536178"
"France","1990","400836.758955313"
"Germany","2016","801753.007675456"
"Germany","2015","797078.165188178"
"Germany","2014","793635.84342125"
"Germany","2013","832642.995494902"
"Germany","2012","815197.408549902"
"Germany","2011","810802.32532412"
"Germany","2010","833684.917989256"
"Germany","2009","789963.521621921"
"Germany","2008","854420.96239996"
"Germany","2007","852096.162161881"
"Germany","2006","878747.131360038"
"Germany","2005","867223.505918637"
"Germany","2004","887996.50917161"
"Germany","2003","901969.864636358"
"Germany","2002","900955.099140372"
"Germany","2001","917476.828445417"
"Germany","2000","900960.091225824"
"Germany","1999","896882.683389602"
"Germany","1998","924404.52986836"
"Germany","1997","932347.358855956"
"Germany","1996","960174.299525608"
"Germany","1995","940086.745949946"
"Germany","1994","940407.989396174"
"Germany","1993","956994.179779531"
"Germany","1992","966705.828658197"
"Germany","1991","1014972.28615807"
"Germany","1990","1052997.50126902"
"Greece","2016","71373.0813084357"
"Greece","2015","74962.4516183782"
"Greece","2014","78655.8163045304"
"Greece","2013","81722.5796614762"
"Greece","2012","91417.8011341176"
"Greece","2011","94531.7032720435"
"Greece","2010","97342.9757973485"
"Greece","2009","104340.534008561"
"Greece","2008","111112.528238265"
"Greece","2007","114582.632848058"
"Greece","2006","112464.90984957"
"Greece","2005","113925.112051587"
"Greece","2004","109530.021026674"
"Greece","2003","109083.182046812"
"Greece","2002","105011.397708497"
"Greece","2001","105368.972292929"
"Greece","2000","102982.297759576"
"Greece","1999","97941.6503645224"
"Greece","1998","98624.7712451946"
"Greece","1997","93804.2042552404"
"Greece","1996","89098.5514867251"
"Greece","1995","86945.6414403053"
"Greece","1994","86391.9924532536"
"Greece","1993","84229.4537939372"
"Greece","1992","84915.798120717"
"Greece","1991","83350.9362927273"
"Greece","1990","83375.3637693834"
"Hungary","2016","47578.1829510952"
"Hungary","2015","46665.206045058"
"Hungary","2014","43915.3959067422"
"Hungary","2013","43767.6996653163"
"Hungary","2012","46808.4949470123"
"Hungary","2011","50358.0010924293"
"Hungary","2010","52120.5368638195"
"Hungary","2009","51781.0504977461"
"Hungary","2008","57438.1671980896"
"Hungary","2007","58522.3084477714"
"Hungary","2006","59839.4312869865"
"Hungary","2005","60499.9645050912"
"Hungary","2004","60406.2411280726"
"Hungary","2003","61936.7829829816"
"Hungary","2002","59162.8443919191"
"Hungary","2001","60171.6588251622"
"Hungary","2000","58551.6605863533"
"Hungary","1999","61828.2036655358"
"Hungary","1998","61348.289976298"
"Hungary","1997","61755.8999045852"
"Hungary","1996","63176.9831220763"
"Hungary","1995","61612.8764907332"
"Hungary","1994","61882.7274139752"
"Hungary","1993","63539.702924021"
"Hungary","1992","62408.8450281107"
"Hungary","1991","69777.2715507239"
"Hungary","1990","73455.4591832497"
"Iceland","2016","3489.97016221877"
"Iceland","2015","3536.41099233448"
"Iceland","2014","3461.84601625669"
"Iceland","2013","3481.77891811559"
"Iceland","2012","3488.68434168876"
"Iceland","2011","3486.41156470145"
"Iceland","2010","3620.9322014797"
"Iceland","2009","3731.08645791021"
"Iceland","2008","3794.95385621216"
"Iceland","2007","3493.94741209054"
"Iceland","2006","3147.03763421941"
"Iceland","2005","2968.90233105091"
"Iceland","2004","3101.2364954268"
"Iceland","2003","2979.68974079759"
"Iceland","2002","2987.89652621757"
"Iceland","2001","2862.68416920703"
"Iceland","2000","2933.98578344002"
"Iceland","1999","2841.27475000373"
"Iceland","1998","2635.45144355374"
"Iceland","1997","2615.62463316348"
"Iceland","1996","2520.13512058785"
"Iceland","1995","2465.1187457883"
"Iceland","1994","2361.91190817736"
"Iceland","1993","2421.01848716962"
"Iceland","1992","2263.01939263522"
"Iceland","1991","2117.70228275711"
"Iceland","1990","2237.41955644943"
"Ireland","2016","39928.1180552973"
"Ireland","2015","38443.6490056878"
"Ireland","2014","36681.6248406265"
"Ireland","2013","37182.847404385"
"Ireland","2012","38194.7536869117"
"Ireland","2011","38009.3036831478"
"Ireland","2010","41679.5175020884"
"Ireland","2009","42108.5071457903"
"Ireland","2008","47300.1054351871"
"Ireland","2007","47622.9461609847"
"Ireland","2006","47550.1945186313"
"Ireland","2005","48104.5666097609"
"Ireland","2004","46129.7410583673"
"Ireland","2003","45639.1233517559"
"Ireland","2002","46034.5859357959"
"Ireland","2001","47557.3542260493"
"Ireland","2000","45193.9526045592"
"Ireland","1999","42377.7811519629"
"Ireland","1998","40650.1023982688"
"Ireland","1997","38752.3572212929"
"Ireland","1996","37410.9597021644"
"Ireland","1995","35794.3787574959"
"Ireland","1994","34772.1918632752"
"Ireland","1993","33649.1849747034"
"Ireland","1992","33417.9826457397"
"Ireland","1991","33606.7459702401"
"Ireland","1990","32877.9357022873"
"Italy","2016","350323.014924208"
"Italy","2015","355483.213865628"
"Italy","2014","348476.240081887"
"Italy","2013","363399.90214448"
"Italy","2012","391990.364412905"
"Italy","2011","413431.505535463"
"Italy","2010","424873.161181115"
"Italy","2009","415932.393339753"
"Italy","2008","468062.059921049"
"Italy","2007","480491.585683967"
"Italy","2006","489749.96941337"
"Italy","2005","495234.014857746"
"Italy","2004","495527.786033193"
"Italy","2003","491480.723900529"
"Italy","2002","477709.338486836"
"Italy","2001","476201.869112356"
"Italy","2000","470767.746939441"
"Italy","1999","464601.452871657"
"Italy","1998","460240.327596298"
"Italy","1997","449465.620732047"
"Italy","1996","444561.573794466"
"Italy","1995","451978.906575074"
"Italy","1994","425490.635288068"
"Italy","1993","431600.973519813"
"Italy","1992","439210.414163348"
"Italy","1991","440094.422429263"
"Italy","1990","439944.10159658"
"Japan","2016","1204318.62329888"
"Japan","2015","1223666.47532555"
"Japan","2014","1264173.25224367"
"Japan","2013","1314069.57201549"
"Japan","2012","1302082.92682012"
"Japan","2011","1261398.58992865"
"Japan","2010","1211572.86753397"
"Japan","2009","1160203.63341047"
"Japan","2008","1229245.45037497"
"Japan","2007","1300051.97297765"
"Japan","2006","1262639.45174459"
"Japan","2005","1286856.31446442"
"Japan","2004","1280036.12238633"
"Japan","2003","1285385.41192226"
"Japan","2002","1277236.5460184"
"Japan","2001","1248087.4240286"
"Japan","2000","1262734.4619511"
"Japan","1999","1239840.12035382"
"Japan","1998","1203710.5334868"
"Japan","1997","1243367.13220561"
"Japan","1996","1249875.68782963"
"Japan","1995","1237852.82364555"
"Japan","1994","1225173.42051339"
"Japan","1993","1170196.73336388"
"Japan","1992","1176942.5703859"
"Japan","1991","1167040.51692518"
"Japan","1990","1155263.41469806"
"Latvia","2016","7263.61794365559"
"Latvia","2015","7333.66139505337"
"Latvia","2014","7238.75342463014"
"Latvia","2013","7423.59275043211"
"Latvia","2012","7583.85501852129"
"Latvia","2011","7882.67959224923"
"Latvia","2010","8646.95587887646"
"Latvia","2009","7480.70455202931"
"Latvia","2008","8218.72354167828"
"Latvia","2007","8655.06549193064"
"Latvia","2006","8333.30634331945"
"Latvia","2005","7835.15495225025"
"Latvia","2004","7750.95631635305"
"Latvia","2003","7740.6696568652"
"Latvia","2002","7542.93426693134"
"Latvia","2001","7516.32590827021"
"Latvia","2000","7099.04568531956"
"Latvia","1999","7737.97081431898"
"Latvia","1998","8328.91144013017"
"Latvia","1997","8706.81852109455"
"Latvia","1996","9243.54157347607"
"Latvia","1995","9167.58392899559"
"Latvia","1994","10420.2640209316"
"Latvia","1993","11987.7618212667"
"Latvia","1992","14267.2372412632"
"Latvia","1991","18038.6336552769"
"Latvia","1990","19805.8943217592"
"Liechtenstein","2016","148.362031395858"
"Liechtenstein","2015","158.885020594884"
"Liechtenstein","2014","161.101780937164"
"Liechtenstein","2013","192.539864503537"
"Liechtenstein","2012","185.317956726602"
"Liechtenstein","2011","176.779768346653"
"Liechtenstein","2010","190.805684812012"
"Liechtenstein","2009","205.35239748442"
"Liechtenstein","2008","219.503545448871"
"Liechtenstein","2007","200.764388539822"
"Liechtenstein","2006","231.096721888869"
"Liechtenstein","2005","228.969072101733"
"Liechtenstein","2004","229.381412089029"
"Liechtenstein","2003","229.347536415933"
"Liechtenstein","2002","220.013830320959"
"Liechtenstein","2001","214.666331916266"
"Liechtenstein","2000","216.856109760753"
"Liechtenstein","1999","226.5619530079"
"Liechtenstein","1998","229.234554380511"
"Liechtenstein","1997","218.366809670306"
"Liechtenstein","1996","205.956614216368"
"Liechtenstein","1995","204.201877848622"
"Liechtenstein","1994","201.110262359133"
"Liechtenstein","1993","215.033552122633"
"Liechtenstein","1992","206.949455397715"
"Liechtenstein","1991","206.327613892052"
"Liechtenstein","1990","198.969162653499"
"Lithuania","2016","13157.4571227852"
"Lithuania","2015","13141.5915250091"
"Lithuania","2014","12874.6680474819"
"Lithuania","2013","13106.3090819592"
"Lithuania","2012","14133.7495706302"
"Lithuania","2011","14066.6385173435"
"Lithuania","2010","13712.6317191673"
"Lithuania","2009","12828.0049545019"
"Lithuania","2008","15079.8454652547"
"Lithuania","2007","15763.2691621029"
"Lithuania","2006","14402.9574356681"
"Lithuania","2005","14089.3240427447"
"Lithuania","2004","13167.3246984497"
"Lithuania","2003","12591.8797863375"
"Lithuania","2002","12602.3717956108"
"Lithuania","2001","12496.1262574379"
"Lithuania","2000","11788.0244291923"
"Lithuania","1999","13407.518486326"
"Lithuania","1998","15888.0402097816"
"Lithuania","1997","15070.195509438"
"Lithuania","1996","15658.8198811494"
"Lithuania","1995","15004.147326857"
"Lithuania","1994","15748.218611408"
"Lithuania","1993","16332.1413198427"
"Lithuania","1992","21187.0619793163"
"Lithuania","1991","37883.2834024956"
"Lithuania","1990","35787.2060062107"
"Luxembourg","2016","9002.95552053963"
"Luxembourg","2015","9259.65885870098"
"Luxembourg","2014","9757.50633032683"
"Luxembourg","2013","10233.3384784063"
"Luxembourg","2012","10788.0813325893"
"Luxembourg","2011","11050.369814536"
"Luxembourg","2010","11154.2893215421"
"Luxembourg","2009","10588.4525831607"
"Luxembourg","2008","11132.2598397824"
"Luxembourg","2007","11268.8345341332"
"Luxembourg","2006","11879.2570167287"
"Luxembourg","2005","12048.3963334543"
"Luxembourg","2004","11785.2315553094"
"Luxembourg","2003","10411.6335041083"
"Luxembourg","2002","9942.24796272409"
"Luxembourg","2001","9166.12433689517"
"Luxembourg","2000","8672.8699579512"
"Luxembourg","1999","8090.45854524013"
"Luxembourg","1998","7639.37300461324"
"Luxembourg","1997","8518.76176984995"
"Luxembourg","1996","9165.47997662882"
"Luxembourg","1995","9118.08014245513"
"Luxembourg","1994","11508.950018311"
"Luxembourg","1993","12320.6292683197"
"Luxembourg","1992","12180.1944366782"
"Luxembourg","1991","12424.0272822822"
"Luxembourg","1990","11812.0413121524"
"Malta","2016","1420.27718150001"
"Malta","2015","1757.75432098972"
"Malta","2014","2462.99602393405"
"Malta","2013","2473.93338118561"
"Malta","2012","2810.52005461088"
"Malta","2011","2655.26889591701"
"Malta","2010","2590.21730817085"
"Malta","2009","2584.31909420741"
"Malta","2008","2823.74380109052"
"Malta","2007","2756.04538429169"
"Malta","2006","2679.44262633108"
"Malta","2005","2666.0194620821"
"Malta","2004","2557.2765293572"
"Malta","2003","2662.35763269372"
"Malta","2002","2443.91872628379"
"Malta","2001","2468.11366558329"
"Malta","2000","2570.86854669531"
"Malta","1999","2570.28661434931"
"Malta","1998","2516.0506151708"
"Malta","1997","2515.04743551012"
"Malta","1996","2469.96816299957"
"Malta","1995","2498.3013393629"
"Malta","1994","2502.53026309341"
"Malta","1993","2333.9130475778"
"Malta","1992","2319.45275194483"
"Malta","1991","2110.57533886454"
"Malta","1990","1943.32113874324"
"Monaco","2016","66.9582145359202"
"Monaco","2015","69.6374415569289"
"Monaco","2014","69.1982251130099"
"Monaco","2013","75.1648698500313"
"Monaco","2012","75.5766353708416"
"Monaco","2011","72.2483078101637"
"Monaco","2010","75.1905272074497"
"Monaco","2009","77.2234577308479"
"Monaco","2008","80.987896981936"
"Monaco","2007","83.0723609967791"
"Monaco","2006","82.4475619101049"
"Monaco","2005","88.9243204512431"
"Monaco","2004","90.5100832712566"
"Monaco","2003","95.5974592670199"
"Monaco","2002","98.4177486928566"
"Monaco","2001","98.8087359719338"
"Monaco","2000","98.5542393431769"
"Monaco","1999","100.895465211595"
"Monaco","1998","100.065339480216"
"Monaco","1997","101.327844186736"
"Monaco","1996","102.582185564089"
"Monaco","1995","99.2371912589636"
"Monaco","1994","102.117101644575"
"Monaco","1993","101.122733361763"
"Monaco","1992","101.975888163246"
"Monaco","1991","96.3299602207723"
"Monaco","1990","95.5245998999256"
"Netherlands","2016","165522.069348924"
"Netherlands","2015","165029.876609465"
"Netherlands","2014","157347.061484457"
"Netherlands","2013","164757.276738594"
"Netherlands","2012","164948.743548481"
"Netherlands","2011","169118.699889982"
"Netherlands","2010","182179.63556426"
"Netherlands","2009","170180.412276337"
"Netherlands","2008","175519.219676076"
"Netherlands","2007","172600.460475877"
"Netherlands","2006","172736.702279704"
"Netherlands","2005","177530.881540258"
"Netherlands","2004","181453.315911889"
"Netherlands","2003","179824.198652366"
"Netherlands","2002","176374.898429254"
"Netherlands","2001","177079.434557995"
"Netherlands","2000","171935.801169871"
"Netherlands","1999","170991.27704883"
"Netherlands","1998","176402.1609964"
"Netherlands","1997","175292.382158187"
"Netherlands","1996","182473.197535653"
"Netherlands","1995","173032.706799464"
"Netherlands","1994","171398.399412058"
"Netherlands","1993","170796.225356654"
"Netherlands","1992","170654.887043327"
"Netherlands","1991","170819.825378812"
"Netherlands","1990","162440.836158031"
"New Zealand","2016","34462.9311586113"
"New Zealand","2015","35837.1079684296"
"New Zealand","2014","35610.4039366031"
"New Zealand","2013","35214.4650819245"
"New Zealand","2012","35969.2627769481"
"New Zealand","2011","34328.8161907943"
"New Zealand","2010","35010.6986813227"
"New Zealand","2009","34806.699322412"
"New Zealand","2008","37655.7309423292"
"New Zealand","2007","36642.0462128381"
"New Zealand","2006","37520.0807018265"
"New Zealand","2005","37647.5736295875"
"New Zealand","2004","36064.917993327"
"New Zealand","2003","36493.0916744984"
"New Zealand","2002","34768.7180518394"
"New Zealand","2001","34582.6676946684"
"New Zealand","2000","32359.158047086"
"New Zealand","1999","31528.5665375368"
"New Zealand","1998","29934.4330015948"
"New Zealand","1997","31356.0892062436"
"New Zealand","1996","29375.2284019647"
"New Zealand","1995","28153.4355252157"
"New Zealand","1994","27888.7573070194"
"New Zealand","1993","27706.9690882818"
"New Zealand","1992","28112.5681244835"
"New Zealand","1991","26118.0720850204"
"New Zealand","1990","25453.5695250854"
"Norway","2016","44031.6226807846"
"Norway","2015","44663.7345376998"
"Norway","2014","43952.6633443956"
"Norway","2013","44302.6539147551"
"Norway","2012","44560.8196581056"
"Norway","2011","44982.5568663433"
"Norway","2010","45823.2772404522"
"Norway","2009","43205.4035928452"
"Norway","2008","44903.0221041381"
"Norway","2007","45851.8905977539"
"Norway","2006","43923.3475893589"
